,boliga_id,address1,address2,zipcode,list_price,living_area,lot_area,rooms,floors,construction_date,energy_rating,taxes_pr_month,bsmnt_area,station_dist_km,created_date,url,gmaps,market_days
0,1764784,Skytteengen 17, 3450 Allerød,3450,3645000,152,129,5,0,1988,B,4074,0,62.2,2021-03-27,https://www.boliga.dk/bolig/1764784,"https://maps.google.com/?q=55.2571,11.27084",0
0,1764349,Bygvænget 10, 3450 Allerød,3450,4995000,153,800,4,0,1969,C,4352,0,20.97,2021-03-27,https://www.boliga.dk/bolig/1764349,"https://maps.google.com/?q=56.102789,12.190414",0
0,1764556,Mågevang 14, 3450 Allerød,3450,7495000,170,700,5,0,2018,A20,4934,0,1.83,2021-03-27,https://www.boliga.dk/bolig/1764556,"https://maps.google.com/?q=55.887438,12.357308",0
0,1764112,Lærkenborg Alle 45, 3450 Allerød,3450,4995000,139,700,6,0,1981,C,4201,0,1.41,2021-03-26,https://www.boliga.dk/bolig/1764112,"https://maps.google.com/?q=55.861731,12.341573",1
0,1762782,Gøgevang 6, 3450 Allerød,3450,3145000,117,700,4,0,1967,D,3886,0,41.72,2021-03-24,https://www.boliga.dk/bolig/1762782,"https://maps.google.com/?q=55.958077,11.435257",3
0,1762055,Meisevang 8, 3450 Allerød,3450,4495000,127,890,4,0,1967,D,4598,127,1.91,2021-03-23,https://www.boliga.dk/bolig/1762055,"https://maps.google.com/?q=55.888062,12.360315",4
0,1759800,Pilealle 14, 3450 Allerød,3450,4995000,184,829,5,0,1952,D,4777,0,92.87,2021-03-17,https://www.boliga.dk/bolig/1759800,"https://maps.google.com/?q=56.156237,10.691566",10
0,1759557,Prøvestens Alle 1, 3450 Allerød,3450,9995000,240,1344,6,0,1916,D,7552,40,0.83,2021-03-17,https://www.boliga.dk/bolig/1759557,"https://maps.google.com/?q=55.870563,12.343783",10
0,1759025,Birkevej 13, 3450 Allerød,3450,3850000,80,788,3,0,1950,F,3287,60,126.52,2021-03-15,https://www.boliga.dk/bolig/1759025,"https://maps.google.com/?q=55.191869,10.246941",12
0,1759014,Cortlandvej 4, 3450 Allerød,3450,5645000,162,876,5,0,1998,C,4763,0,1.63,2021-03-15,https://www.boliga.dk/bolig/1759014,"https://maps.google.com/?q=55.881483,12.338848",12
0,1756416,Gl Lyngevej 43, 3450 Allerød,3450,4995000,143,1030,4,0,1923,C,4707,0,1.31,2021-03-09,https://www.boliga.dk/bolig/1756416,"https://maps.google.com/?q=55.8617374,12.3440905",18
0,1755427,Bakkevej 27, 3450 Allerød,3450,4145000,122,1121,4,0,1959,F,4198,0,17.23,2021-03-06,https://www.boliga.dk/bolig/1755427,"https://maps.google.com/?q=55.760982,11.825118",21
0,1753999,Birkedalsvej 3, 3450 Allerød,3450,4575000,123,713,3,0,1985,B,4509,123,4.29,2021-03-03,https://www.boliga.dk/bolig/1753999,"https://maps.google.com/?q=55.834099,12.155817",24
0,1753621,Gl Amtsvej 28, 3450 Allerød,3450,2775000,129,805,5,0,1901,D,4104,0,0.2,2021-03-02,https://www.boliga.dk/bolig/1753621,"https://maps.google.com/?q=55.869645,12.359065",25
0,1751327,Gravenstensvej 21, 3450 Allerød,3450,4795000,130,715,5,0,1957,D,4022,0,0.84,2021-02-23,https://www.boliga.dk/bolig/1751327,"https://maps.google.com/?q=55.866646,12.345971",32
0,1750625,Lærkenborg Alle 40, 3450 Allerød,3450,4650000,153,854,5,0,1976,D,4925,0,1.47,2021-02-20,https://www.boliga.dk/bolig/1750625,"https://maps.google.com/?q=55.861666,12.34038",35
0,1749871,Prøvestensvej 23, 3450 Allerød,3450,4795000,197,781,7,0,1963,D,5023,49,0.76,2021-02-18,https://www.boliga.dk/bolig/1749871,"https://maps.google.com/?q=55.868606,12.345714",37
0,1746645,Gyvelvej 6, 3450 Allerød,3450,3995000,133,792,5,0,1966,D,4626,0,116.44,2021-02-10,https://www.boliga.dk/bolig/1746645,"https://maps.google.com/?q=56.362522,10.449083",45
0,1746275,Platanhaven 7, 3450 Allerød,3450,4295000,140,902,5,0,1977,D,4445,0,1.62,2021-02-09,https://www.boliga.dk/bolig/1746275,"https://maps.google.com/?q=55.674285,12.381269",46
0,1742127,Allerødvej 19A, 3450 Allerød,3450,5245000,148,772,6,0,1924,D,4343,40,0.47,2021-01-27,https://www.boliga.dk/bolig/1742127,"https://maps.google.com/?q=55.867047,12.359538",59
0,1724544,Kollerød Bygade 2B, 3450 Allerød,3450,4695000,169,757,5,0,2002,C,3965,0,3.54,2020-11-18,https://www.boliga.dk/bolig/1724544,"https://maps.google.com/?q=55.873838,12.300741",129
0,1714098,Tokkekøbvej 11, 3450 Allerød,3450,4495000,184,703,7,0,1961,C,3424,56,0.21,2020-10-13,https://www.boliga.dk/bolig/1714098,"https://maps.google.com/?q=55.872837,12.356577",165
0,1706815,Bjergvej 13, 3450 Allerød,3450,4445000,166,1346,6,0,1994,C,4168,0,163.34,2020-09-21,https://www.boliga.dk/bolig/1706815,"https://maps.google.com/?q=55.369996,9.603157",187
0,1696996,Kollerød Bygade 16, 3450 Allerød,3450,2165000,75,517,3,0,1810,B,2545,0,3.65,2020-08-25,https://www.boliga.dk/bolig/1696996,"https://maps.google.com/?q=55.872403,12.298818",214
0,1638822,Søvangen 1, 3450 Allerød,3450,3100000,102,293,3,0,1988,C,3225,0,175.04,2020-02-26,https://www.boliga.dk/bolig/1638822,"https://maps.google.com/?q=56.644684,9.644723",395
0,1572772,Kollerød Bygade 23, Kollerød,3450,14950000,250,147974,10,0,1996,A10,4350,0,3.93,2019-06-29,https://www.boliga.dk/bolig/1572772,"https://maps.google.com/?q=55.864651,12.295217",637
0,1511475,Skovvejen 21, 3450 Allerød,3450,5595000,173,681,4,0,2021,-,8197,0,10.46,2018-12-27,https://www.boliga.dk/bolig/1511475,"https://maps.google.com/?q=55.734918,12.032653",821
0,1764679,Langkærgårdsvej 23, 3460 Birkerød,3460,4795000,120,715,4,0,1963,D,4566,0,1.84,2021-03-27,https://www.boliga.dk/bolig/1764679,"https://maps.google.com/?q=55.82438,12.430601",0
0,1764751,Abildlunden 37, 3460 Birkerød,3460,5995000,163,857,6,0,1963,D,5422,0,2.27,2021-03-27,https://www.boliga.dk/bolig/1764751,"https://maps.google.com/?q=55.820143,12.422896",0
0,1764828,Furesøbakken 10, 3460 Birkerød,3460,6495000,207,811,8,0,1964,E,7005,0,1.59,2021-03-27,https://www.boliga.dk/bolig/1764828,"https://maps.google.com/?q=55.793036,12.448436",0
0,1763897,Slåenbakken 26, 3460 Birkerød,3460,7695000,206,1000,7,0,1975,E,5871,0,2.18,2021-03-26,https://www.boliga.dk/bolig/1763897,"https://maps.google.com/?q=55.821117,12.428378",1
0,1762760,Søndervangen 96, 3460 Birkerød,3460,7995000,155,2242,6,0,1964,F,6892,85,1.26,2021-03-24,https://www.boliga.dk/bolig/1762760,"https://maps.google.com/?q=55.837662,12.443474",3
0,1761062,Solbjærgsvinget 5, 3460 Birkerød,3460,5995000,154,810,6,0,1967,D,5167,0,2.0,2021-03-20,https://www.boliga.dk/bolig/1761062,"https://maps.google.com/?q=55.858272,12.428486",7
0,1757560,Stenhøjgårdsvej 22, 3460 Birkerød,3460,5995000,145,806,4,0,1970,C,5147,0,118.83,2021-03-11,https://www.boliga.dk/bolig/1757560,"https://maps.google.com/?q=56.03625,10.198048",16
0,1756164,Vestre Teglværksvej 9, 3460 Birkerød,3460,3975000,140,736,5,0,1835,D,4079,0,2.08,2021-03-08,https://www.boliga.dk/bolig/1756164,"https://maps.google.com/?q=55.855702,12.376261",19
0,1755312,Nyvej 3, 3460 Birkerød,3460,6495000,185,271,7,0,1898,E,4319,45,104.77,2021-03-05,https://www.boliga.dk/bolig/1755312,"https://maps.google.com/?q=56.284221,10.58703",22
0,1753516,Bistrupvej 164B, 3460 Birkerød,3460,5250000,142,963,5,0,1966,E,5594,0,1.67,2021-03-02,https://www.boliga.dk/bolig/1753516,"https://maps.google.com/?q=55.825487,12.423179",25
0,1753597,Kajerødvej 92, 3460 Birkerød,3460,7995000,203,1216,6,0,2015,A15,5752,0,0.23,2021-03-02,https://www.boliga.dk/bolig/1753597,"https://maps.google.com/?q=55.839511,12.420822",25
0,1753596,Langedamsti 3, 3460 Birkerød,3460,9150000,270,1083,9,0,2001,C,8378,0,0.93,2021-03-02,https://www.boliga.dk/bolig/1753596,"https://maps.google.com/?q=55.846957,12.433515",25
0,1753104,Furesøparkalle 44, 3460 Birkerød,3460,10000000,189,1024,7,0,1954,C,7821,32,2.28,2021-02-27,https://www.boliga.dk/bolig/1753104,"https://maps.google.com/?q=55.821135,12.435779",28
0,1752206,Abildgårdsparken 6, 3460 Birkerød,3460,8995000,407,1281,11,0,1968,D,13969,230,1.81,2021-02-25,https://www.boliga.dk/bolig/1752206,"https://maps.google.com/?q=55.82431,12.421519",30
0,1750375,Hyrebakken 6, 3460 Birkerød,3460,11595000,205,1525,5,0,1912,C,3579,0,2.87,2021-02-20,https://www.boliga.dk/bolig/1750375,"https://maps.google.com/?q=55.844971,12.378945",35
0,1747311,Johan Mantzius Vej 9A, 3460 Birkerød,3460,5495000,160,594,7,0,1904,D,4557,10,0.34,2021-02-11,https://www.boliga.dk/bolig/1747311,"https://maps.google.com/?q=55.842256,12.428476",44
0,1746705,Kattehalevej 31, 3460 Birkerød,3460,5995000,100,1866,3,0,1760,B,4412,0,2.54,2021-02-10,https://www.boliga.dk/bolig/1746705,"https://maps.google.com/?q=55.851099,12.377008",45
0,1730896,Nordvangsparken 10, 3460 Birkerød,3460,5495000,130,963,4,0,1965,D,5782,130,1.24,2020-12-10,https://www.boliga.dk/bolig/1730896,"https://maps.google.com/?q=55.829409,12.425348",107
0,1730903,Carl Plougs Vej 12, 3460 Birkerød,3460,5995000,109,801,4,0,1984,D,5130,0,3.13,2020-12-10,https://www.boliga.dk/bolig/1730903,"https://maps.google.com/?q=55.862826,12.454352",107
0,1727871,Damgårdsvej 13A, 3460 Birkerød,3460,10975000,177,1308,6,0,2000,B,3827,0,2.58,2020-11-28,https://www.boliga.dk/bolig/1727871,"https://maps.google.com/?q=55.817334,12.424473",119
0,1724788,Skovhjørnet 1, 3460 Birkerød,3460,4695000,130,800,5,0,1972,D,4225,0,18.59,2020-11-18,https://www.boliga.dk/bolig/1724788,"https://maps.google.com/?q=56.000026,12.011944",129
0,1716024,Damgårdsvej 54, 3460 Birkerød,3460,4895000,152,804,5,0,1959,E,4987,0,24.31,2020-10-20,https://www.boliga.dk/bolig/1716024,"https://maps.google.com/?q=55.737048,11.719977",158
0,1714891,Søholmsvej 8, 3460 Birkerød,3460,11500000,225,1929,5,0,1991,C,6930,0,101.15,2020-10-15,https://www.boliga.dk/bolig/1714891,"https://maps.google.com/?q=56.246511,10.617922",163
0,1695355,Biskop Svanes Vej 23, 3460 Birkerød,3460,6995000,238,2749,9,0,1878,E,11477,9,1.46,2020-08-19,https://www.boliga.dk/bolig/1695355,"https://maps.google.com/?q=55.846658,12.444519",220
0,1694965,Nordvanggårdsvej 40, 3460 Birkerød,3460,5995000,269,1310,7,0,1976,C,7142,0,1.52,2020-08-18,https://www.boliga.dk/bolig/1694965,"https://maps.google.com/?q=55.827058,12.428325",221
0,1764710,Hillerødvejen 7, 3480 Fredensborg,3480,4100000,173,1277,6,0,1964,E,3968,0,7.05,2021-03-27,https://www.boliga.dk/bolig/1764710,"https://maps.google.com/?q=55.971253,12.391585",0
0,1764158,Sørupvej 30, Sørup,3480,4245000,217,786,8,0,1954,-,5904,80,29.37,2021-03-26,https://www.boliga.dk/bolig/1764158,"https://maps.google.com/?q=55.23956,11.925693",1
0,1763702,Maglegårdsvej 503, 3480 Fredensborg,3480,3395000,117,642,4,0,1986,C,3682,0,9.27,2021-03-26,https://www.boliga.dk/bolig/1763702,"https://maps.google.com/?q=55.994404,12.397882",1
0,1762508,Sørupvej 29B, Sørup,3480,6995000,305,1222,5,0,1827,B,9029,0,111.33,2021-03-24,https://www.boliga.dk/bolig/1762508,"https://maps.google.com/?q=55.071349,10.570907",3
0,1761968,Nørredamsvej 80, 3480 Fredensborg,3480,3750000,133,701,4,0,1975,G,4180,0,8.7,2021-03-22,https://www.boliga.dk/bolig/1761968,"https://maps.google.com/?q=55.97922,12.414455",5
0,1761756,Nørredamsvej 118, 3480 Fredensborg,3480,4975000,151,823,6,0,1975,C,4517,0,8.87,2021-03-21,https://www.boliga.dk/bolig/1761756,"https://maps.google.com/?q=55.979721,12.417222",6
0,1761563,Vilhelmsro 101, 3480 Fredensborg,3480,3875000,148,914,5,0,1974,E,4161,0,7.94,2021-03-20,https://www.boliga.dk/bolig/1761563,"https://maps.google.com/?q=55.965976,12.41733",7
0,1760941,Sørupvej 72, 3480 Fredensborg,3480,13800000,201,2503,8,0,1939,C,7838,83,207.47,2021-03-19,https://www.boliga.dk/bolig/1760941,"https://maps.google.com/?q=57.370814,10.150362",8
0,1760161,Dr Louises Alle 10, 3480 Fredensborg,3480,5395000,176,918,5,0,1979,C,4195,0,8.31,2021-03-18,https://www.boliga.dk/bolig/1760161,"https://maps.google.com/?q=55.980309,12.403966",9
0,1758804,Kastanievej 32, 3480 Fredensborg,3480,3695000,137,830,5,0,1949,F,4009,45,19.83,2021-03-14,https://www.boliga.dk/bolig/1758804,"https://maps.google.com/?q=56.009442,11.995096",13
0,1758553,Maglegårdsvej 627, 3480 Fredensborg,3480,6995000,213,731,8,0,1979,D,5142,138,9.14,2021-03-13,https://www.boliga.dk/bolig/1758553,"https://maps.google.com/?q=55.993881,12.39555",14
0,1755771,Nødebovej 54, Nødebo,3480,2895000,115,1020,6,0,1937,E,4043,65,7.02,2021-03-06,https://www.boliga.dk/bolig/1755771,"https://maps.google.com/?q=55.986384,12.348075",21
0,1753838,Grønholtvej 94, 3480 Fredensborg,3480,3795000,188,1470,5,0,1900,C,3709,0,7.22,2021-03-02,https://www.boliga.dk/bolig/1753838,"https://maps.google.com/?q=55.943901,12.422461",25
0,1753518,Nørredamsvej 69, 3480 Fredensborg,3480,4995000,182,857,6,0,1974,F,5011,83,8.71,2021-03-02,https://www.boliga.dk/bolig/1753518,"https://maps.google.com/?q=55.979643,12.413935",25
0,1753625,Månedalen 2, 3480 Fredensborg,3480,5195000,165,1198,6,0,1989,D,4775,0,12.28,2021-03-02,https://www.boliga.dk/bolig/1753625,"https://maps.google.com/?q=55.944227,12.030005",25
0,1752797,Båstrupvej 202, 3480 Fredensborg,3480,4295000,135,1019,5,0,1970,D,4303,0,8.18,2021-02-27,https://www.boliga.dk/bolig/1752797,"https://maps.google.com/?q=55.970195,12.416676",28
0,1752429,Kastanievej 31, 3480 Fredensborg,3480,3650000,122,898,5,0,1973,E,3887,0,129.38,2021-02-26,https://www.boliga.dk/bolig/1752429,"https://maps.google.com/?q=55.494956,10.100057",29
0,1752423,Fyrrevej 4, 3480 Fredensborg,3480,7100000,123,797,5,0,1948,B,5615,91,116.2,2021-02-26,https://www.boliga.dk/bolig/1752423,"https://maps.google.com/?q=56.357001,10.447948",29
0,1751376,Veksebovej 10, Veksebo,3480,7245000,262,1158,6,0,1840,D,5326,4,9.44,2021-02-23,https://www.boliga.dk/bolig/1751376,"https://maps.google.com/?q=55.982975,12.424236",32
0,1746396,Veksebovej 29, 3480 Fredensborg,3480,5200000,214,1110,5,0,1917,E,4027,13,9.77,2021-02-09,https://www.boliga.dk/bolig/1746396,"https://maps.google.com/?q=55.97588,12.440663",46
0,1743076,Helsingørsvej 13, 3480 Fredensborg,3480,6795000,227,1086,8,0,1900,F,4754,108,8.39,2021-01-29,https://www.boliga.dk/bolig/1743076,"https://maps.google.com/?q=55.980175,12.405928",57
0,1741217,Båstrupvej 158, 3480 Fredensborg,3480,3725000,135,792,4,0,1970,E,3806,0,8.06,2021-01-23,https://www.boliga.dk/bolig/1741217,"https://maps.google.com/?q=55.969588,12.415142",63
0,1740348,Præstemosevej 1, 3480 Fredensborg,3480,3995000,155,1319,4,0,1900,D,3341,12,72.02,2021-01-20,https://www.boliga.dk/bolig/1740348,"https://maps.google.com/?q=54.815199,12.052166",66
0,1728422,Benediktevej 15, 3480 Fredensborg,3480,5595000,153,1000,6,0,1925,D,4223,81,109.54,2020-12-01,https://www.boliga.dk/bolig/1728422,"https://maps.google.com/?q=56.52897,10.813715",116
0,1725696,Kirkeleddet 125, Båstrup,3480,4895000,191,818,6,0,1988,C,5050,93,8.56,2020-11-21,https://www.boliga.dk/bolig/1725696,"https://maps.google.com/?q=55.974016,12.419189",126
0,1724712,Langerødvej 43B, 3480 Fredensborg,3480,6800000,193,4036,6,0,1930,C,5049,0,11.29,2020-11-18,https://www.boliga.dk/bolig/1724712,"https://maps.google.com/?q=55.984786,12.459382",129
0,1717086,Vilhelmsro 240, 3480 Fredensborg,3480,3795000,132,811,5,0,1976,C,4244,0,7.69,2020-10-23,https://www.boliga.dk/bolig/1717086,"https://maps.google.com/?q=55.964451,12.414321",155
0,1708519,Olaf Poulsens Alle 1A, 3480 Fredensborg,3480,3245000,117,709,4,0,1876,E,3324,0,8.48,2020-09-25,https://www.boliga.dk/bolig/1708519,"https://maps.google.com/?q=55.980965,12.406634",183
